,clip,annotator_id,prolific_user,annotator_gender,annotator_origin,movies_recognition,actors_recognition,experim_group,intensity,variability,gender,frame_start,movie,quartile,sum,exp_sum,face_id,type
138,51617_67_clean,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,4,1,Female,51617,CleanAM,q1,4.462915514737913,0.0250227384654315,36,A
139,51617_67_clean,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,3,2,Female,51617,CleanAM,q1,4.462915514737913,0.0250227384654315,36,A
140,197265_273_pirates,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,1,Male,197265,PiratesOfCaribbeanHM,q4,11.98785400390358,0.0724023337276124,354,H
141,197265_273_pirates,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,3,1,Male,197265,PiratesOfCaribbeanHM,q4,11.98785400390358,0.0724023337276124,354,H
142,197265_273_pirates,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,4,4,Male,197265,PiratesOfCaribbeanHM,q4,11.98785400390358,0.0724023337276124,354,H
143,197265_273_pirates,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,6,1,Male,197265,PiratesOfCaribbeanHM,q4,11.98785400390358,0.0724023337276124,354,H
144,197265_273_pirates,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,1,Male,197265,PiratesOfCaribbeanHM,q4,11.98785400390358,0.0724023337276124,354,H
145,132769_299_allornothing,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,3,1,Female,132769,AllOrNothingAM,q3,9.684918730937817,0.0548936571824067,130,A
146,132769_299_allornothing,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,6,1,Female,132769,AllOrNothingAM,q3,9.684918730937817,0.0548936571824067,130,A
147,132769_299_allornothing,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,6,3,Female,132769,AllOrNothingAM,q3,9.684918730937817,0.0548936571824067,130,A
148,132769_299_allornothing,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,1,2,Female,132769,AllOrNothingAM,q3,9.684918730937817,0.0548936571824067,130,A
